Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
8/26/24,Monday,21.73,uber,Travel,Debit,Need
8/26/24,Monday,2.75,snack,Food,Cash,Want
8/26/24,Monday,14.26,drinks,Food,Debit,Want
8/27/24,Tuesday,2.75,snack,Food,Cash,Want
8/27/24,Tuesday,3.75,noodles,Food,Cash,Want
8/27/24,Tuesday,6.45,starbucks,Food,Cash,Want
8/27/24,Tuesday,2.00,bus,Travel,Cash,Need
8/27/24,Tuesday,17.65,snacks,Food,Debit,Want
8/28/24,Wednesday,19.49,uber,Travel,Debit,Need
8/28/24,Wednesday,10.69,uber,Travel,Debit,Need
8/28/24,Wednesday,11.99,drinks,Food,Debit,Want
8/29/24,Thursday,19.49,uber,Travel,Debit,Need
8/29/24,Thursday,6.50,snacks,Food,Cash,Want
8/29/24,Thursday,2.00,bus,Travel,Cash,Need
9/2/24,Monday,190.00,bag,Entertainment and Recreation,Credit,Want
9/2/24,Monday,20.00,fries,Food,Credit,Want
9/3/24,Tuesday,21.83,uber,Travel,Debit,Need
9/3/24,Tuesday,2.00,bus,Travel,Cash,Need
9/3/24,Tuesday,19.54,wingstop,Food,Credit,Want