timestamp,gender,extrovert_introvert,hours,sleep
4/8/2025 21:42:47,Female,Introvert,7,6
4/9/2025 10:22:56,Female,Introvert,15,4
4/9/2025 10:33:37,Female,Introvert,14,6
4/9/2025 10:35:26,Female,Extrovert,7,8
4/9/2025 10:37:35,Male,Introvert,3,10
4/9/2025 10:39:11,Female,Introvert,10.5,7.5
4/9/2025 10:43:35,Female,Extrovert,8,8
4/9/2025 10:44:29,Female,Introvert,6,5.5
4/9/2025 10:50:08,Female,Introvert,10,12
4/9/2025 11:05:23,Male,Extrovert,5,8
4/9/2025 11:11:17,Male,Introvert,3,7
4/9/2025 11:15:10,Female,Extrovert,8,7
4/9/2025 12:02:12,Male,Extrovert,8,7
4/9/2025 12:06:24,Female,Introvert,5,7
4/9/2025 12:07:09,Female,Introvert,6.5,9
4/9/2025 12:10:39,Female,Introvert,10,7
4/9/2025 12:11:09,Female,Introvert,4,6
4/9/2025 12:12:08,Female,Extrovert,4,7
4/9/2025 12:57:44,Female,Introvert,10,6
4/9/2025 12:59:30,Male,Extrovert,4,6
4/9/2025 13:00:34,Female,Introvert,11,7
4/9/2025 13:20:42,Male,Introvert,8,7
4/9/2025 13:35:51,Male,Introvert,8,6
4/9/2025 14:06:43,Female,Introvert,7,7
4/9/2025 15:05:58,Female,Introvert,3,5
4/9/2025 15:13:11,Female,Introvert,10,8
4/9/2025 15:56:03,Female,Introvert,5,7.5
4/9/2025 16:14:12,Female,Introvert,3,8
4/9/2025 16:45:33,Female,Extrovert,3,8
4/9/2025 16:56:15,Female,Introvert,12,8
4/9/2025 17:48:32,Female,Introvert,3,7
4/9/2025 19:23:30,Male,Extrovert,2,4
4/9/2025 21:22:04,Female,Extrovert,14,6
4/10/2025 8:22:21,Female,Extrovert,7,7
4/10/2025 8:22:26,Female,Introvert,6,10
4/10/2025 8:23:09,Female,Extrovert,12,9
4/10/2025 8:28:53,Male,Introvert,5,8
4/10/2025 8:32:37,Female,Extrovert,4,8.5
4/10/2025 8:33:28,Female,Introvert,6,5
4/10/2025 8:37:50,Female,Introvert,2,6
4/10/2025 8:47:12,Female,Introvert,7,6
4/10/2025 9:02:18,Female,Introvert,4,6
4/10/2025 9:02:29,Male,Extrovert,6,6
4/10/2025 9:02:49,Other,Introvert,9,5
4/10/2025 9:17:31,Male,Introvert,7,8
4/10/2025 9:32:55,Female,Introvert,6,8
4/10/2025 9:46:49,Other,Introvert,10,6
4/10/2025 10:08:26,Female,Extrovert,3.5,6
4/10/2025 10:25:46,Female,Introvert,12,7
4/10/2025 11:12:27,Male,Extrovert,1,9
4/10/2025 11:35:53,Male,Introvert,5,7
4/10/2025 11:35:53,Female,Extrovert,4,7
4/10/2025 11:36:06,Male,Extrovert,5,8
4/10/2025 11:36:17,Female,Introvert,9,9
4/10/2025 11:36:19,Female,Introvert,5,5
4/10/2025 11:36:28,Male,Introvert,3,8
4/10/2025 11:36:36,Male,Introvert,6,8
4/10/2025 11:36:47,Male,Extrovert,4,9
4/10/2025 11:36:57,Male,Extrovert,7,8
4/10/2025 11:37:03,Other,Introvert,1.5,6
4/10/2025 11:37:22,Male,Extrovert,4,6
4/10/2025 11:37:34,Male,Introvert,5,8
4/10/2025 11:38:48,Male,Introvert,12,7
4/10/2025 11:38:48,Female,Extrovert,10,5
4/10/2025 11:40:06,Male,Introvert,8,7
4/10/2025 11:40:57,Male,Introvert,6,7
4/10/2025 11:44:26,Male,Extrovert,4,7